inst#,actual,predicted,error,prediction
1,1:0,2:1,+,0.972
2,1:0,2:1,+,0.661
3,1:0,1:0,,0.676
4,2:1,2:1,,0.908
5,1:0,1:0,,0.612
6,1:0,1:0,,0.547
7,1:0,1:0,,1
8,2:1,2:1,,0.631
9,2:1,1:0,+,1
10,2:1,2:1,,0.864
11,2:1,1:0,+,0.925
12,2:1,1:0,+,0.585
13,1:0,2:1,+,1
14,2:1,2:1,,0.824
15,1:0,1:0,,0.993
16,1:0,1:0,,0.856
17,1:0,2:1,+,1
18,1:0,1:0,,1
19,2:1,2:1,,0.825
20,2:1,2:1,,1
21,1:0,1:0,,1
22,2:1,2:1,,0.942
23,2:1,1:0,+,0.711
24,2:1,2:1,,1
25,2:1,2:1,,0.846
26,2:1,1:0,+,0.623
27,1:0,2:1,+,1
28,2:1,1:0,+,0.623
29,1:0,2:1,+,1
30,1:0,1:0,,0.623
31,2:1,2:1,,0.66
32,1:0,2:1,+,0.508
33,2:1,2:1,,0.744
34,1:0,1:0,,0.815
35,2:1,1:0,+,0.815
36,2:1,2:1,,0.696
37,1:0,1:0,,0.753
38,2:1,2:1,,0.756
39,2:1,2:1,,1
40,1:0,1:0,,0.797
41,2:1,2:1,,1
42,2:1,1:0,+,1
43,1:0,2:1,+,0.576
44,2:1,2:1,,0.993
45,1:0,1:0,,0.522
46,2:1,1:0,+,0.623
47,2:1,1:0,+,1
48,1:0,1:0,,1
49,1:0,2:1,+,0.927
50,1:0,1:0,,0.547
51,2:1,2:1,,1
52,2:1,1:0,+,0.612
53,2:1,2:1,,0.872
54,2:1,1:0,+,0.598
55,1:0,2:1,+,0.546
56,1:0,1:0,,0.798
57,1:0,1:0,,0.623
58,1:0,2:1,+,0.531
59,2:1,1:0,+,0.607
60,1:0,1:0,,0.998
61,1:0,2:1,+,0.695
62,1:0,2:1,+,1
63,1:0,1:0,,0.623
64,2:1,1:0,+,1
65,1:0,1:0,,0.648
66,1:0,1:0,,1
67,2:1,2:1,,1
68,2:1,1:0,+,0.623
69,2:1,1:0,+,1
70,1:0,1:0,,0.639
71,2:1,2:1,,1
72,2:1,1:0,+,0.963
73,1:0,2:1,+,0.861
74,2:1,2:1,,1
75,1:0,1:0,,1
76,2:1,1:0,+,0.685
77,1:0,2:1,+,1
78,2:1,1:0,+,0.983
79,1:0,1:0,,0.547
80,1:0,2:1,+,1
81,2:1,1:0,+,0.623
82,2:1,2:1,,0.806
83,1:0,2:1,+,0.524
84,2:1,1:0,+,1
85,1:0,2:1,+,0.631
86,2:1,1:0,+,0.968
87,2:1,1:0,+,0.634
88,2:1,2:1,,1
89,1:0,1:0,,1
90,2:1,1:0,+,0.565
91,2:1,1:0,+,1
92,1:0,1:0,,0.92
93,1:0,1:0,,0.6
94,1:0,2:1,+,1
95,2:1,2:1,,0.516
96,2:1,1:0,+,0.547
97,1:0,1:0,,0.559
98,1:0,2:1,+,1
99,1:0,1:0,,1
100,2:1,1:0,+,0.634
101,2:1,1:0,+,0.679
102,2:1,2:1,,1
103,2:1,2:1,,0.981
104,2:1,1:0,+,0.598
105,2:1,1:0,+,0.6
106,1:0,2:1,+,0.526
107,2:1,1:0,+,0.508
108,1:0,2:1,+,1
109,1:0,1:0,,0.598
110,1:0,2:1,+,0.97
111,2:1,2:1,,1
112,2:1,2:1,,0.973
113,2:1,2:1,,1
114,1:0,1:0,,0.98
115,1:0,2:1,+,1
116,2:1,2:1,,0.777
117,2:1,2:1,,1
118,2:1,2:1,,0.977
119,2:1,1:0,+,1
120,1:0,1:0,,1
121,2:1,1:0,+,1
122,1:0,1:0,,0.52
123,2:1,1:0,+,0.943
124,2:1,1:0,+,0.862
125,2:1,2:1,,1
126,1:0,2:1,+,1
127,1:0,1:0,,0.6
128,1:0,1:0,,0.547
129,1:0,1:0,,0.623
130,1:0,1:0,,0.623
131,2:1,1:0,+,0.78
132,1:0,1:0,,1
133,2:1,1:0,+,0.676
134,1:0,1:0,,1
135,2:1,2:1,,1
136,2:1,2:1,,0.591
137,1:0,2:1,+,1
138,1:0,1:0,,0.623
139,1:0,1:0,,0.962
140,2:1,1:0,+,0.752
141,2:1,1:0,+,1
142,1:0,1:0,,0.999
143,2:1,1:0,+,1
144,2:1,1:0,+,0.638
145,1:0,1:0,,0.564
146,1:0,2:1,+,0.517
147,1:0,1:0,,0.758
148,1:0,2:1,+,1
149,2:1,1:0,+,0.637
150,1:0,1:0,,1
151,2:1,1:0,+,0.614
152,1:0,1:0,,0.705
153,1:0,2:1,+,0.52
154,1:0,2:1,+,1
155,1:0,2:1,+,0.511
156,2:1,1:0,+,0.693
157,1:0,1:0,,0.984
158,2:1,2:1,,1
159,2:1,1:0,+,0.794
160,2:1,1:0,+,0.556
161,1:0,2:1,+,1
162,2:1,1:0,+,0.605
163,1:0,1:0,,0.995
164,2:1,2:1,,0.999
165,1:0,1:0,,1
166,1:0,2:1,+,1
167,1:0,2:1,+,1
168,2:1,1:0,+,1
169,1:0,1:0,,0.615
170,2:1,2:1,,0.914
171,1:0,1:0,,0.547
172,1:0,2:1,+,0.511
173,1:0,1:0,,0.693
174,1:0,1:0,,0.623
175,1:0,1:0,,1
176,1:0,1:0,,1
177,2:1,2:1,,1
178,1:0,2:1,+,0.576
179,1:0,1:0,,0.999
180,1:0,2:1,+,1
181,1:0,1:0,,0.524
182,2:1,1:0,+,1
183,1:0,1:0,,1
184,2:1,2:1,,0.751
185,1:0,1:0,,0.527
186,1:0,1:0,,1
187,1:0,1:0,,0.605
188,2:1,1:0,+,1
189,1:0,1:0,,0.6
190,1:0,2:1,+,1
191,2:1,2:1,,0.706
192,2:1,1:0,+,0.623
193,1:0,1:0,,0.996
194,1:0,2:1,+,0.772
195,1:0,1:0,,1
