inst#,actual,predicted,error,prediction
1,1:0,2:1,+,0.93
2,1:0,2:1,+,0.632
3,1:0,1:0,,0.522
4,2:1,2:1,,0.79
5,1:0,1:0,,0.63
6,1:0,1:0,,0.53
7,1:0,2:1,+,0.82
8,2:1,2:1,,0.514
9,2:1,2:1,,0.73
10,2:1,2:1,,0.753
11,2:1,1:0,+,0.57
12,2:1,2:1,,0.551
13,1:0,1:0,,0.51
14,2:1,2:1,,0.569
15,1:0,2:1,+,0.588
16,1:0,1:0,,0.551
17,1:0,1:0,,0.63
18,1:0,1:0,,0.53
19,2:1,2:1,,0.564
20,2:1,2:1,,0.62
21,1:0,1:0,,0.77
22,2:1,2:1,,0.69
23,2:1,2:1,,0.76
24,2:1,1:0,+,0.58
25,2:1,2:1,,0.89
26,2:1,1:0,+,0.59
27,1:0,1:0,,0.652
28,2:1,1:0,+,0.59
29,1:0,2:1,+,0.58
30,1:0,1:0,,0.59
31,2:1,1:0,+,0.807
32,1:0,2:1,+,0.773
33,2:1,2:1,,0.66
34,1:0,1:0,,0.584
35,2:1,1:0,+,0.888
36,2:1,2:1,,0.511
37,1:0,1:0,,0.51
38,2:1,2:1,,0.595
39,2:1,2:1,,0.87
40,1:0,1:0,,0.765
41,2:1,1:0,+,0.736
42,2:1,1:0,+,0.59
43,1:0,2:1,+,0.56
44,2:1,2:1,,0.71
45,1:0,2:1,+,0.672
46,2:1,1:0,+,0.59
47,2:1,1:0,+,0.539
48,1:0,1:0,,0.72
49,1:0,2:1,+,0.855
50,1:0,1:0,,0.53
51,2:1,2:1,,0.73
52,2:1,2:1,,0.631
53,2:1,2:1,,0.7
54,2:1,1:0,+,0.601
55,1:0,2:1,+,0.549
56,1:0,2:1,+,0.689
57,1:0,1:0,,0.59
58,1:0,1:0,,0.957
59,2:1,2:1,,0.51
60,1:0,1:0,,0.802
61,1:0,2:1,+,0.67
62,1:0,2:1,+,0.891
63,1:0,1:0,,0.59
64,2:1,2:1,,0.91
65,1:0,2:1,+,0.608
66,1:0,2:1,+,0.54
67,2:1,1:0,+,0.626
68,2:1,1:0,+,0.59
69,2:1,1:0,+,0.862
70,1:0,1:0,,0.821
71,2:1,2:1,,0.73
72,2:1,1:0,+,0.84
73,1:0,2:1,+,0.85
74,2:1,2:1,,0.835
75,1:0,1:0,,0.865
76,2:1,1:0,+,0.752
77,1:0,1:0,,0.516
78,2:1,1:0,+,0.578
79,1:0,1:0,,0.53
80,1:0,2:1,+,0.783
81,2:1,1:0,+,0.59
82,2:1,1:0,+,0.73
83,1:0,2:1,+,0.805
84,2:1,2:1,,0.72
85,1:0,2:1,+,0.514
86,2:1,2:1,,0.66
87,2:1,1:0,+,0.691
88,2:1,2:1,,0.76
89,1:0,1:0,,0.812
90,2:1,1:0,+,0.857
91,2:1,1:0,+,0.822
92,1:0,1:0,,0.949
93,1:0,1:0,,0.577
94,1:0,1:0,,0.57
95,2:1,2:1,,0.592
96,2:1,1:0,+,0.53
97,1:0,1:0,,0.504
98,1:0,2:1,+,0.813
99,1:0,1:0,,0.607
100,2:1,1:0,+,0.691
101,2:1,1:0,+,0.602
102,2:1,1:0,+,0.715
103,2:1,2:1,,0.635
104,2:1,1:0,+,0.601
105,2:1,1:0,+,0.577
106,1:0,2:1,+,0.514
107,2:1,2:1,,0.627
108,1:0,1:0,,0.504
109,1:0,1:0,,0.601
110,1:0,2:1,+,0.541
111,2:1,2:1,,0.757
112,2:1,2:1,,0.86
113,2:1,2:1,,0.503
114,1:0,1:0,,0.603
115,1:0,2:1,+,0.6
116,2:1,1:0,+,0.73
117,2:1,2:1,,0.89
118,2:1,2:1,,0.838
119,2:1,1:0,+,0.746
120,1:0,1:0,,0.532
121,2:1,1:0,+,0.713
122,1:0,1:0,,0.564
123,2:1,2:1,,0.608
124,2:1,1:0,+,0.636
125,2:1,2:1,,0.542
126,1:0,1:0,,0.67
127,1:0,1:0,,0.577
128,1:0,1:0,,0.53
129,1:0,1:0,,0.59
130,1:0,1:0,,0.59
131,2:1,1:0,+,0.688
132,1:0,1:0,,0.531
133,2:1,1:0,+,0.522
134,1:0,1:0,,0.51
135,2:1,2:1,,0.815
136,2:1,2:1,,0.66
137,1:0,1:0,,0.635
