inst#,actual,predicted,error,prediction
1,1:0,1:0,,0.579
2,1:0,1:0,,0.597
3,1:0,1:0,,0.592
4,1:0,2:1,+,0.501
5,1:0,1:0,,0.718
6,1:0,1:0,,0.649
7,1:0,2:1,+,0.51
8,1:0,1:0,,0.59
9,1:0,1:0,,0.702
10,1:0,2:1,+,0.53
11,1:0,1:0,,0.592
12,1:0,1:0,,0.517
13,1:0,1:0,,0.527
14,1:0,2:1,+,0.5
15,1:0,1:0,,0.63
16,1:0,1:0,,0.592
17,1:0,1:0,,0.683
18,1:0,1:0,,0.612
19,1:0,1:0,,0.68
20,1:0,1:0,,0.585
21,1:0,1:0,,0.592
22,1:0,1:0,,0.592
23,1:0,1:0,,0.616
24,1:0,1:0,,0.608
25,1:0,1:0,,0.641
26,1:0,1:0,,0.505
27,1:0,1:0,,0.719
28,1:0,1:0,,0.528
29,1:0,1:0,,0.654
30,1:0,1:0,,0.592
31,1:0,1:0,,0.643
32,1:0,1:0,,0.683
33,1:0,1:0,,0.593
34,1:0,2:1,+,0.559
35,1:0,1:0,,0.539
36,1:0,1:0,,0.602
37,1:0,1:0,,0.615
38,1:0,1:0,,0.671
39,1:0,1:0,,0.665
40,1:0,2:1,+,0.649
41,1:0,1:0,,0.673
42,1:0,1:0,,0.567
43,1:0,1:0,,0.592
44,1:0,1:0,,0.522
45,1:0,1:0,,0.548
46,1:0,1:0,,0.571
47,1:0,2:1,+,0.515
48,1:0,1:0,,0.604
49,1:0,1:0,,0.615
50,1:0,1:0,,0.582
51,1:0,1:0,,0.614
52,1:0,1:0,,0.614
53,1:0,1:0,,0.586
54,1:0,1:0,,0.63
55,1:0,1:0,,0.56
56,1:0,1:0,,0.585
57,1:0,1:0,,0.665
58,1:0,1:0,,0.592
59,1:0,1:0,,0.592
60,1:0,1:0,,0.61
61,1:0,1:0,,0.531
62,1:0,1:0,,0.702
63,1:0,1:0,,0.658
64,1:0,1:0,,0.53
65,1:0,1:0,,0.562
66,1:0,1:0,,0.628
67,1:0,1:0,,0.658
68,1:0,1:0,,0.612
69,1:0,1:0,,0.606
70,1:0,1:0,,0.658
71,1:0,1:0,,0.592
72,1:0,2:1,+,0.531
73,1:0,1:0,,0.517
74,1:0,1:0,,0.585
75,1:0,1:0,,0.614
76,1:0,1:0,,0.657
77,1:0,1:0,,0.671
78,1:0,2:1,+,0.631
79,1:0,1:0,,0.707
80,1:0,1:0,,0.626
81,1:0,1:0,,0.659
82,1:0,1:0,,0.585
83,1:0,1:0,,0.614
84,1:0,1:0,,0.585
85,1:0,2:1,+,0.516
86,1:0,1:0,,0.593
87,1:0,1:0,,0.596
88,1:0,1:0,,0.608
89,1:0,1:0,,0.597
90,1:0,1:0,,0.688
91,1:0,1:0,,0.614
92,1:0,1:0,,0.577
93,1:0,1:0,,0.519
94,1:0,1:0,,0.589
95,1:0,1:0,,0.592
96,1:0,1:0,,0.59
97,1:0,1:0,,0.592
98,1:0,1:0,,0.606
99,1:0,1:0,,0.637
100,1:0,1:0,,0.677
101,1:0,1:0,,0.592
102,1:0,1:0,,0.664
103,1:0,1:0,,0.592
104,1:0,1:0,,0.589
105,1:0,1:0,,0.592
106,1:0,1:0,,0.592
107,1:0,1:0,,0.616
108,1:0,2:1,+,0.506
109,1:0,2:1,+,0.57
110,1:0,1:0,,0.672
111,1:0,1:0,,0.615
112,1:0,1:0,,0.669
113,1:0,1:0,,0.661
114,1:0,1:0,,0.616
115,1:0,2:1,+,0.649
116,1:0,1:0,,0.614
117,1:0,1:0,,0.635
118,1:0,1:0,,0.635
119,1:0,1:0,,0.592
120,1:0,1:0,,0.6
121,1:0,1:0,,0.727
122,1:0,2:1,+,0.501
123,1:0,1:0,,0.531
124,1:0,1:0,,0.603
125,1:0,2:1,+,0.51
126,1:0,1:0,,0.585
127,1:0,1:0,,0.528
128,1:0,1:0,,0.592
129,1:0,1:0,,0.592
130,1:0,1:0,,0.606
