inst#,actual,predicted,error,prediction
1,1:0,1:0,,0.586
2,1:0,1:0,,0.605
3,1:0,1:0,,0.556
4,1:0,1:0,,0.552
5,1:0,1:0,,0.602
6,1:0,1:0,,0.603
7,1:0,1:0,,0.514
8,1:0,1:0,,0.774
9,1:0,1:0,,0.726
10,1:0,1:0,,0.748
11,1:0,1:0,,0.644
12,1:0,1:0,,0.51
13,1:0,1:0,,0.709
14,1:0,1:0,,0.56
15,1:0,1:0,,0.697
16,1:0,1:0,,0.679
17,1:0,2:1,+,0.52
18,1:0,2:1,+,0.564
19,1:0,1:0,,0.586
20,1:0,1:0,,0.682
21,1:0,1:0,,0.685
22,1:0,1:0,,0.639
23,1:0,1:0,,0.538
24,1:0,1:0,,0.552
25,1:0,1:0,,0.566
26,1:0,1:0,,0.517
27,1:0,1:0,,0.564
28,1:0,2:1,+,0.5
29,1:0,2:1,+,0.51
30,1:0,1:0,,0.571
31,1:0,2:1,+,0.538
32,1:0,1:0,,0.622
33,1:0,1:0,,0.708
34,1:0,1:0,,0.622
35,1:0,1:0,,0.65
36,1:0,1:0,,0.649
37,1:0,1:0,,0.61
38,1:0,1:0,,0.616
39,1:0,1:0,,0.671
40,1:0,1:0,,0.717
41,1:0,1:0,,0.624
42,1:0,1:0,,0.651
43,1:0,1:0,,0.585
44,1:0,1:0,,0.631
45,1:0,1:0,,0.598
46,1:0,1:0,,0.582
47,1:0,1:0,,0.596
48,1:0,1:0,,0.588
49,1:0,1:0,,0.616
50,1:0,1:0,,0.621
51,1:0,1:0,,0.63
52,1:0,1:0,,0.595
53,1:0,1:0,,0.709
54,1:0,1:0,,0.525
55,1:0,1:0,,0.677
56,1:0,2:1,+,0.516
57,1:0,1:0,,0.575
58,1:0,1:0,,0.655
59,1:0,1:0,,0.621
60,1:0,1:0,,0.698
61,1:0,1:0,,0.572
62,1:0,1:0,,0.632
63,1:0,1:0,,0.642
64,1:0,1:0,,0.643
65,1:0,1:0,,0.649
66,1:0,1:0,,0.547
67,1:0,1:0,,0.521
68,1:0,1:0,,0.669
69,1:0,1:0,,0.616
70,1:0,1:0,,0.651
71,1:0,2:1,+,0.541
72,1:0,2:1,+,0.513
73,1:0,1:0,,0.545
74,1:0,1:0,,0.609
75,1:0,2:1,+,0.506
76,1:0,1:0,,0.596
77,1:0,1:0,,0.565
78,1:0,1:0,,0.666
79,1:0,1:0,,0.589
80,1:0,1:0,,0.573
81,1:0,1:0,,0.595
82,1:0,1:0,,0.593
83,1:0,1:0,,0.529
84,1:0,1:0,,0.661
85,1:0,1:0,,0.701
86,1:0,1:0,,0.611
87,1:0,1:0,,0.505
88,1:0,1:0,,0.633
89,1:0,1:0,,0.607
90,1:0,1:0,,0.594
91,1:0,1:0,,0.521
92,1:0,1:0,,0.599
93,1:0,2:1,+,0.641
94,1:0,1:0,,0.635
95,1:0,1:0,,0.599
96,1:0,1:0,,0.576
97,1:0,1:0,,0.634
98,1:0,1:0,,0.522
99,1:0,1:0,,0.589
100,1:0,1:0,,0.547
101,1:0,1:0,,0.61
102,1:0,1:0,,0.565
103,1:0,2:1,+,0.518
104,1:0,1:0,,0.649
105,1:0,1:0,,0.563
106,1:0,1:0,,0.659
107,1:0,1:0,,0.722
108,1:0,1:0,,0.695
109,1:0,1:0,,0.606
110,1:0,1:0,,0.596
111,1:0,2:1,+,0.523
112,1:0,2:1,+,0.6
113,1:0,1:0,,0.595
114,1:0,1:0,,0.554
115,1:0,1:0,,0.592
116,1:0,1:0,,0.599
117,1:0,1:0,,0.56
118,1:0,1:0,,0.586
119,1:0,1:0,,0.598
120,1:0,1:0,,0.665
121,1:0,1:0,,0.616
122,1:0,1:0,,0.606
123,1:0,1:0,,0.625
124,1:0,1:0,,0.674
125,1:0,1:0,,0.626
126,1:0,1:0,,0.571
127,1:0,1:0,,0.618
128,1:0,1:0,,0.509
129,1:0,2:1,+,0.532
130,1:0,1:0,,0.611
131,1:0,1:0,,0.685
132,1:0,1:0,,0.586
133,1:0,1:0,,0.622
134,1:0,1:0,,0.675
135,1:0,1:0,,0.592
136,1:0,1:0,,0.563
137,1:0,1:0,,0.51
138,1:0,1:0,,0.551
139,1:0,1:0,,0.572
140,1:0,1:0,,0.628
141,1:0,1:0,,0.566
142,1:0,1:0,,0.649
143,1:0,2:1,+,0.504
144,1:0,1:0,,0.625
145,1:0,1:0,,0.505
146,1:0,1:0,,0.549
147,1:0,1:0,,0.724
148,1:0,1:0,,0.543
149,1:0,1:0,,0.598
150,1:0,1:0,,0.576
151,1:0,1:0,,0.512
152,1:0,1:0,,0.641
153,1:0,1:0,,0.674
154,1:0,1:0,,0.594
155,1:0,1:0,,0.615
156,1:0,2:1,+,0.531
157,1:0,1:0,,0.517
158,1:0,1:0,,0.552
159,1:0,2:1,+,0.587
160,1:0,1:0,,0.503
161,1:0,1:0,,0.612
162,1:0,1:0,,0.619
163,1:0,1:0,,0.626
164,1:0,1:0,,0.539
165,1:0,1:0,,0.651
166,1:0,1:0,,0.615
167,1:0,1:0,,0.605
168,1:0,1:0,,0.671
169,1:0,2:1,+,0.568
170,1:0,1:0,,0.574
171,1:0,1:0,,0.697
172,1:0,1:0,,0.629
173,1:0,1:0,,0.664
174,1:0,1:0,,0.636
175,1:0,1:0,,0.598
176,1:0,2:1,+,0.578
177,1:0,1:0,,0.523
178,1:0,1:0,,0.598
179,1:0,1:0,,0.598
180,1:0,1:0,,0.557
181,1:0,1:0,,0.561
182,1:0,1:0,,0.603
183,1:0,1:0,,0.596
184,1:0,2:1,+,0.515
185,1:0,1:0,,0.54
186,1:0,1:0,,0.609
187,1:0,1:0,,0.691
188,1:0,1:0,,0.586
189,1:0,1:0,,0.758
190,1:0,1:0,,0.588
191,1:0,2:1,+,0.529
192,1:0,1:0,,0.591
193,1:0,1:0,,0.572
194,1:0,1:0,,0.529
195,1:0,1:0,,0.581
196,1:0,1:0,,0.585
197,1:0,1:0,,0.688
198,1:0,1:0,,0.75
199,1:0,1:0,,0.697
200,1:0,1:0,,0.562
201,1:0,1:0,,0.636
202,1:0,1:0,,0.595
203,1:0,2:1,+,0.562
